Id,SalePrice
2658,132403.72203799046
2718,161042.8613817664
2414,212159.63561943558
1989,98110.08403120248
625,175295.28937253263
333,79407.89520598482
1327,116619.56350630918
858,159356.60723621235
95,186208.95641204994
1568,164357.91173560696
2482,156798.0366487936
1364,127896.48198313592
2584,155682.95156489802
818,245806.33011903474
2673,165037.2363025644
2089,135026.2885230044
1297,146809.01090807386
790,115876.79083059717
2616,192865.0232819469
720,199004.76356512588
222,155834.509089601
557,117897.59683958045
1148,203543.91677415906
2766,169969.91663234495
534,178990.22204289504
1452,126073.5651399009
630,122303.89714824618
2648,126169.38233838556
125,159075.7089260933
1904,48343.965996411396
1670,106036.37929794565
756,91781.50186374504
717,258415.77674994583
1032,157325.36466213095
852,217126.86202240095
1731,180322.2783910561
2639,116453.77595655923
2071,93516.5848182094
1267,111874.84214230452
1851,197547.27078506397
567,159619.17356606806
2439,211717.4884336315
1898,157430.4008449308
647,162120.55182978162
2256,231509.1296009426
979,102473.3434078407
1444,227452.62140414095
2485,120015.49487415492
157,132843.94495656725
88,110590.76143810397
2003,112720.3202364468
186,214651.56370710395
1425,243643.70142258133
2695,135198.45614783047
738,93532.98616602994
395,167342.54248629638
1353,153405.8557050277
1878,136737.42891824793
390,161720.58853264502
1456,235003.65841974888
1103,340286.32569892635
1387,112103.48699836736
2070,159869.76198772935
1199,161132.31951119308
2479,175136.8299288724
501,297522.4390318608
2362,83651.52617934195
1718,198391.261149621
2188,93466.25504768488
1483,141662.19010989065
2557,91028.9164466738
437,373734.8906819577
2224,199198.9291187256
1628,163206.67845143622
397,136316.45679981995
587,197145.66967243887
971,153402.93717136793
2611,144297.66569481767
1887,95572.91947760433
2399,374832.28735261736
2148,203990.18998396327
304,118791.12000027357
1997,132642.6065667154
2817,115626.85939509468
1431,200508.86703436042
427,324627.1305306712
263,125888.75153993489
598,169114.7905482269
2895,235120.19441506185
687,144489.75859446637
1822,133362.84554122319
2191,101903.02023288608
179,114893.22323849832
1009,197875.62961746764
2010,124284.721799321
1991,131850.97439166752
1411,197294.07128598075
1721,211044.82347484562
1144,193066.66717657621
593,219889.73512741015
575,322277.9479991677
1249,177207.48950245196
1604,114966.15841920523
1064,580418.4707100724
1923,160283.94237475353
1988,120743.47637248936
2325,166816.51224208216
114,197787.4412392442
2700,173468.55651962152
217,117458.22680576704
343,179936.12254527002
386,224735.18646364112
2005,115918.38850196637
2908,160346.813541351
1814,249963.46459059964
2446,550164.6197543242
208,138822.63341196766
1679,108940.71966072812
822,340125.39354041906
6,191288.48891561967
1781,426170.13009263424
2397,274006.27909319603
2340,306124.5327530224
1618,165180.4951130821
2843,175305.6717668185
1061,374229.3250878253
2786,129705.66490929923
1935,142365.05408978486
1341,110669.82559790183
521,262853.7126149455
2136,138881.26353219873
996,194506.41268353479
227,125621.85681793059
135,188481.2538927158
1167,163444.82443024486
294,231489.2750239739
1776,193619.33549859503
540,170182.49657142477
1717,196936.9908007423
2303,136365.29695427767
116,184808.49730841466
127,149104.58930923208
1371,136548.0159959956
1014,130653.3850423717
1507,109223.80290524615
702,129118.32647545764
750,143456.75370107125
261,138497.61727748322
1559,50737.01404919964
577,230221.15605911752
2812,202925.09918647888
2080,162844.38502023835
1368,113260.20524209982
2376,116502.99245170807
659,102619.60994600737
1235,123150.70601939748
332,72578.8270414538
1917,149794.47290622897
2094,255711.94726969546
1460,266108.51013147866
1471,227091.96949008608
1509,128292.72611828707
1922,132524.35689798673
433,571642.3742046747
460,232960.2196497355
1116,226455.51379151782
1137,181182.79427129135
53,162589.85191622202
2354,291137.5726876963
1475,194943.54736200522
1761,650905.3733337837
842,131126.80382233835
2739,172306.6319281432
2509,154709.702242109
1007,205843.31141155004
2610,191327.82015775645
1952,92218.05060146505
2719,159025.96022381668
2921,70626.99156926945
1966,130621.57353023859
292,117687.03346441849
1204,178609.81227948307
1829,271112.5783933556
2419,185106.9064920768
391,159629.73188464122
798,116244.06616121647
481,195214.87038467883
193,204939.29180569958
555,124089.31112758338
899,61941.279462699546
2357,179677.83460640325
328,133599.70742098172
1356,112519.6390065091
1154,94947.1346599405
1730,183068.1684101998
2249,158191.33651179099
1119,271503.9017938272
2856,148049.50145155063
1394,122956.07829204004
2587,114243.69548119314
61,308085.723904965
2661,175274.9603206556
2711,126904.91280483559
1147,190859.20288502658
757,124723.77351815009
2623,94748.91555743676
2378,137129.84917560965
1413,139467.45145653875
1722,198391.4558576455
1112,238398.72075451282
1623,182611.3860120353
1201,201743.72357068304
1513,118615.0879783316
957,548264.3326172649
1171,281318.51148663624
1145,193534.1214327073
2726,244417.41791433585
703,139508.62822313642
760,94646.20192804036
1964,137176.72877492686
2512,164021.53570791613
159,134513.96339299204
1281,156857.22076259018
468,200103.89325117425
290,124171.14161297842
665,114515.56854359631
1463,255836.67407518893
1792,225209.66626331408
923,143711.84772809746
500,273429.16585471353
1408,189392.4744070042
331,86757.59000246343
170,108184.15380001965
2192,93826.44409266359
2571,364675.39665695955
2314,167526.84141426045
2647,102291.25441427971
422,477727.1799118855
2457,378572.20831955434
1838,191409.09801786486
2805,256879.28456267877
1645,156946.8283406787
1711,291045.2579425585
2825,267827.36025973514
322,332757.39980448585
2103,251642.04205731687
342,125175.27409909305
600,120738.47923625284
488,178307.57086112152
1725,290651.3188410634
2246,284867.901946552
2847,155387.56009928335
806,250023.45274726825
530,246786.7093405649
963,200030.7970533145
2678,76988.83804123593
171,88460.75753449544
2401,478628.6261473001
805,223538.0269523327
2259,244328.93065446604
1748,185350.28932835662
1361,131797.14938645042
1677,111432.89121761417
1406,163585.75484942005
2322,262741.03750723344
688,141911.57225598802
143,133311.4657415091
804,216743.54804353358
1214,156918.6855682683
2828,145646.17103329813
1999,192106.96476469305
2467,190036.76477308082
2665,147721.39512984967
1538,303179.96505266754
398,109062.9295892712
2822,150126.7554453076
2157,136990.54949039698
1856,192830.30658958782
1269,96129.86661227432
2570,109382.26558081957
2320,231950.52763234277
1517,128755.92053290538
2304,129395.15425104264
1312,100492.68147277052
2012,120836.25930941058
506,250481.7860942171
2865,208543.21835820493
2367,106959.35698125954
554,91714.78162214998
238,136613.07151730743
1954,113395.00570112607
2488,134824.8578821635
2291,71735.04362286057
1969,101454.24394817825
2725,156986.3303036705
1482,137860.29937327735
2763,204770.06501129363
503,258822.23315331957
1584,255568.46300133702
1531,110985.07547363767
2210,159733.2709906262
459,323531.8507535716
556,131602.3932431297
1347,129757.13642725395
1290,66130.91679646855
1388,90541.90862637153
1571,412983.6392548252
2754,194164.2952617989
765,124512.84054068732
2494,119788.13211080199
2870,213978.2812374466
7,204386.27276542003
1114,252655.26922155824
2418,285586.85684275045
291,121353.76939899975
18,333698.63781890343
39,386562.62389625073
1001,241154.46262956306
2442,249093.27760051307
616,114964.60178982606
2680,68481.64918244036
1414,119582.26937567745
289,143229.08294123225
40,226757.89694719878
860,131506.96946444595
409,137150.08241830405
673,153921.55643068673
2427,169835.97720544343
2036,213551.65244157368
2564,137871.76148242305
642,160440.2490875997
1008,156697.06044555886
1908,146297.11474875838
2519,198537.1498046217
1369,106240.32326187985
2855,146763.2027031309
712,75989.810072046
1943,129354.18919190834
1958,143022.54062458477
107,153247.26708984945
2295,206991.78918594087
704,98868.40904625028
676,128661.22371906554
259,176007.88581909775
93,295781.89515084156
106,244663.6511103774
2315,179721.232828498
1050,98701.6267740092
1095,219862.2430995243
2709,146145.7804588835
758,148133.85415190237
1496,156549.1505977721
2370,119681.60811206186
2458,288382.9587486582
2733,129392.89315003203
161,303006.0384480064
726,150688.50259262056
845,211454.85354777565
947,257101.5137810912
2232,123495.34232093522
2563,142477.4984971179
2299,155376.37918064673
211,63273.62491230131
605,162454.04186347208
1478,196154.28576893883
2247,285389.33750874584
2274,227429.3478996912
2869,212594.87959015777
967,221070.49763065216
2656,120353.57300449326
667,181934.70132113318
1042,113449.05374162365
2023,154136.0303894733
2447,397141.5847640466
2055,132087.1597202199
2275,274725.8086929454
2204,162293.9043845497
1563,277345.1826243113
483,204990.84733083542
796,123469.49248250178
1526,153288.05085620983
2042,118451.7351191102
442,343377.22076384735
1693,311177.480264327
1468,224299.66644056374
1430,193863.1129742365
2605,137995.4609641533
1529,183283.90280323767
335,154394.78014639183
1287,138957.7978035272
31,91367.62328377948
1785,309365.4420040408
82,165024.03127190005
2620,130705.49782602105
252,187648.55271527532
721,46989.93025626871
2165,182920.2390124303
2316,181459.9177945275
775,125521.69930478733
1558,128231.82621700817
17,235975.69146320107
1022,252786.400887575
925,117560.0560669339
438,261970.00572092808
1270,101073.4587266394
1272,109488.17061979626
215,138243.40857941657
266,232229.34751798736
2402,278028.188986604
1250,131574.4182433295
1984,124188.45188509079
1279,139495.171082373
377,244591.21062642627
1252,92826.30154651776
2156,284338.3188737191
499,330475.84078604635
1374,139592.9630113953
2898,229678.13336482504
401,112557.35126362636
2721,147693.35703983356
2078,235344.47983522888
2589,135259.8826838201
1946,233880.8902734262
1334,115549.35287878441
2781,229943.52691923745
431,407879.3119942625
576,203899.264476276
1474,214008.74756123556
2254,135791.51700953417
2155,294514.5015646727
885,115244.8618492512
643,135760.1377187603
1944,134215.4326407723
